"QDate","FwdMonth","CONTOUR_D","FwdYM","CONTOUR_M","CORR_M","SLOPE_D","FwdType"
2008-01-07,9,3.91,"2008-10",,,,"WTI _ 09"
2008-01-07,10,3.91,"2008-11",,,,"WTI _ 10"
2008-01-07,11,3.91,"2008-12",,,,"WTI _ 11"
2008-01-08,0,0,"2008-01",,,,"WTI _ 00"
2008-01-08,1,0.0369230769230757,"2008-02",,,,"WTI _ 01"
2008-01-08,2,-80.2230769230769,"2008-03",,,,"WTI _ 02"
2008-01-08,3,-79.4730769230769,"2008-04",,,,"WTI _ 03"
2008-01-08,4,-79.4730769230769,"2008-05",,,,"WTI _ 04"
2008-01-08,5,0.20923076923077,"2008-06",,,,"WTI _ 05"
2008-01-08,6,0.375384615384615,"2008-07",,,,"WTI _ 06"
2008-01-08,7,-78.3930769230769,"2008-08",,,,"WTI _ 07"
2008-01-08,8,-78.3930769230769,"2008-09",,,,"WTI _ 08"
2008-01-08,9,-77.4030769230769,"2008-10",,,,"WTI _ 09"
2008-01-08,10,0.527692307692309,"2008-11",,,,"WTI _ 10"
2008-01-08,11,0.527692307692309,"2008-12",,,,"WTI _ 11"
2008-01-09,0,0,"2008-01",,,,"WTI _ 00"
2008-01-09,1,0.359999999999999,"2008-02",,,,"WTI _ 01"
2008-01-09,2,0.840000000000003,"2008-03",,,,"WTI _ 02"
2008-01-09,3,81.9153846153846,"2008-04",,,,"WTI _ 03"
2008-01-09,4,81.9153846153846,"2008-05",,,,"WTI _ 04"
2008-01-09,5,1.7,"2008-06",,,,"WTI _ 05"
2008-01-09,6,2.93000000000001,"2008-07",,,,"WTI _ 06"
2008-01-09,7,2.93000000000001,"2008-08",,,,"WTI _ 07"
2008-01-09,8,82.1046153846154,"2008-09",,,,"WTI _ 08"
2008-01-09,9,82.2738461538462,"2008-10",,,,"WTI _ 09"
2008-01-09,10,4.03,"2008-11",,,,"WTI _ 10"
2008-01-09,11,4.03,"2008-12",,,,"WTI _ 11"
2008-01-10,0,0,"2008-01",,,,"WTI _ 00"
2008-01-10,1,80.9138461538462,"2008-02",,,,"WTI _ 01"
2008-01-10,2,81.0015384615385,"2008-03",,,,"WTI _ 02"
2008-01-10,3,2.03,"2008-04",,,,"WTI _ 03"
2008-01-10,4,2.03,"2008-05",,,,"WTI _ 04"
2008-01-10,5,2.03,"2008-06",,,,"WTI _ 05"
2008-01-10,6,81.3707692307692,"2008-07",,,,"WTI _ 06"
2008-01-10,7,81.3707692307692,"2008-08",,,,"WTI _ 07"
2008-01-10,8,3.44000000000001,"2008-09",,,,"WTI _ 08"
2008-01-10,9,4.7,"2008-10",,,,"WTI _ 09"
2008-01-10,10,4.7,"2008-11",,,,"WTI _ 10"
2008-01-10,11,81.5646153846154,"2008-12",,,,"WTI _ 11"
2008-01-11,0,0,"2008-01",,,,"WTI _ 00"
2008-01-11,1,-79.1223076923077,"2008-02",,,,"WTI _ 01"
2008-01-11,2,-78.6223076923077,"2008-03",,,,"WTI _ 02"
2008-01-11,3,-77.7623076923077,"2008-04",,,,"WTI _ 03"
2008-01-11,4,0.27846153846154,"2008-05",,,,"WTI _ 04"
2008-01-11,5,0.27846153846154,"2008-06",,,,"WTI _ 05"
2008-01-11,6,-76.5723076923077,"2008-07",,,,"WTI _ 06"
2008-01-11,7,-76.5723076923077,"2008-08",,,,"WTI _ 07"
2008-01-11,8,-76.5723076923077,"2008-09",,,,"WTI _ 08"
2008-01-11,9,0.632307692307693,"2008-10",,,,"WTI _ 09"
2008-01-11,10,0.632307692307693,"2008-11",,,,"WTI _ 10"
2008-01-11,11,-75.4623076923077,"2008-12",,,,"WTI _ 11"
2008-01-14,0,0,"2008-01",,,,"WTI _ 00"
2008-01-14,1,0.400000000000006,"2008-02",,,,"WTI _ 01"
2008-01-14,2,78.3023076923077,"2008-03",,,,"WTI _ 02"
2008-01-14,3,78.4084615384615,"2008-04",,,,"WTI _ 03"
2008-01-14,4,1.51000000000001,"2008-05",,,,"WTI _ 04"
2008-01-14,5,1.51000000000001,"2008-06",,,,"WTI _ 05"
2008-01-14,6,2.54000000000001,"2008-07",,,,"WTI _ 06"
2008-01-14,7,78.5669230769231,"2008-08",,,,"WTI _ 07"
2008-01-14,8,78.5669230769231,"2008-09",,,,"WTI _ 08"
2008-01-14,9,3.51000000000001,"2008-10",,,,"WTI _ 09"
2008-01-14,10,3.51000000000001,"2008-11",,,,"WTI _ 10"
2008-01-14,11,3.51000000000001,"2008-12",,,,"WTI _ 11"
2008-01-15,0,0,"2008-01",0,,,"WTI _ 00"
2008-01-15,1,0.0476923076923086,"2008-02",-4.06391195557776,,,"WTI _ 01"
2008-01-15,2,-78.7907692307692,"2008-03",3.39927485760905,,,"WTI _ 02"
2008-01-15,3,-77.8907692307692,"2008-04",7.49931148764568,,,"WTI _ 03"
2008-01-15,4,-77.8907692307692,"2008-05",4.09583163416583,,,"WTI _ 04"
2008-01-15,5,0.26,"2008-06",-3.17175078341659,,,"WTI _ 05"
2008-01-15,6,0.44923076923077,"2008-07",-2.53189730356311,,,"WTI _ 06"
2008-01-15,7,-76.6607692307692,"2008-08",4.5387254070596,,,"WTI _ 07"
2008-01-15,8,-76.6607692307692,"2008-09",8.22271808105228,,,"WTI _ 08"
2008-01-15,9,-75.5607692307692,"2008-10",5.35817595651015,,,"WTI _ 09"
2008-01-15,10,0.618461538461538,"2008-11",-1.83292294458875,,,"WTI _ 10"
2008-01-15,11,0.618461538461538,"2008-12",-1.87361891528472,,,"WTI _ 11"
2008-01-16,0,0,"2008-01",,,,"WTI _ 00"
2008-01-16,1,0.210000000000008,"2008-02",,,,"WTI _ 01"
2008-01-16,2,0.540000000000006,"2008-03",,,,"WTI _ 02"
2008-01-16,3,77.7584615384615,"2008-04",,,,"WTI _ 03"
2008-01-16,4,77.7584615384615,"2008-05",,,,"WTI _ 04"
2008-01-16,5,1.19000000000001,"2008-06",,,,"WTI _ 05"
2008-01-16,6,2.2,"2008-07",,,,"WTI _ 06"
2008-01-16,7,2.2,"2008-08",,,,"WTI _ 07"
2008-01-16,8,77.9138461538462,"2008-09",,,,"WTI _ 08"
2008-01-16,9,78.0569230769231,"2008-10",,,,"WTI _ 09"
2008-01-16,10,3.13000000000001,"2008-11",,,,"WTI _ 10"
2008-01-16,11,3.13000000000001,"2008-12",,,,"WTI _ 11"
2008-01-17,0,0,"2008-01",,,,"WTI _ 00"
2008-01-17,1,-36.3507051282051,"2008-02",,,,"WTI _ 01"
2008-01-17,2,40.2508333333333,"2008-03",,,,"WTI _ 02"
2008-01-17,3,40.2954487179487,"2008-04",,,,"WTI _ 03"
2008-01-17,4,-35.3807051282051,"2008-05",,,,"WTI _ 04"
2008-01-17,5,-35.0807051282051,"2008-06",,,,"WTI _ 05"
2008-01-17,6,-34.5207051282051,"2008-07",,,,"WTI _ 06"
2008-01-17,7,40.4739102564103,"2008-08",,,,"WTI _ 07"
2008-01-17,8,40.4739102564103,"2008-09",,,,"WTI _ 08"
2008-01-17,9,-33.7107051282051,"2008-10",,,,"WTI _ 09"
2008-01-17,10,-33.7107051282051,"2008-11",,,,"WTI _ 10"
2008-01-17,11,-33.7107051282051,"2008-12",,,,"WTI _ 11"
2008-01-18,0,0,"2008-01",,,,"WTI _ 00"
2008-01-18,1,43.209349112426,"2008-02",,,,"WTI _ 01"
2008-01-18,2,43.2601183431953,"2008-03",,,,"WTI _ 02"
2008-01-18,3,-31.5460355029586,"2008-04",,,,"WTI _ 03"
2008-01-18,4,-31.2460355029586,"2008-05",,,,"WTI _ 04"
2008-01-18,5,-30.9460355029586,"2008-06",,,,"WTI _ 05"
2008-01-18,6,43.4847337278106,"2008-07",,,,"WTI _ 06"
2008-01-18,7,43.4847337278106,"2008-08",,,,"WTI _ 07"
2008-01-18,8,-30.3760355029586,"2008-09",,,,"WTI _ 08"
2008-01-18,9,-29.5960355029586,"2008-10",,,,"WTI _ 09"
2008-01-18,10,-29.5960355029586,"2008-11",,,,"WTI _ 10"
2008-01-18,11,43.6047337278106,"2008-12",,,,"WTI _ 11"
2008-01-22,0,0,"2008-01",,,,"WTI _ 00"
2008-01-22,1,-28.3991758241758,"2008-02",,,,"WTI _ 01"
2008-01-22,2,-28.0491758241758,"2008-03",,,,"WTI _ 02"
2008-01-22,3,-27.7891758241758,"2008-04",,,,"WTI _ 03"
2008-01-22,4,45.8746703296703,"2008-05",,,,"WTI _ 04"
2008-01-22,5,45.9146703296703,"2008-06",,,,"WTI _ 05"
2008-01-22,6,-26.7891758241758,"2008-07",,,,"WTI _ 06"
2008-01-22,7,-26.7891758241758,"2008-08",,,,"WTI _ 07"
2008-01-22,8,-26.7891758241758,"2008-09",,,,"WTI _ 08"
2008-01-22,9,46.086978021978,"2008-10",,,,"WTI _ 09"
2008-01-22,10,46.086978021978,"2008-11",,,,"WTI _ 10"
2008-01-22,11,-26.1491758241758,"2008-12",,,,"WTI _ 11"
2008-01-23,0,0,"2008-01",,,,"WTI _ 00"
2008-01-23,1,-28.0178974358974,"2008-02",,,,"WTI _ 01"
2008-01-23,2,-27.5778974358974,"2008-03",,,,"WTI _ 02"
2008-01-23,3,47.4859487179487,"2008-04",,,,"WTI _ 03"
2008-01-23,4,47.533641025641,"2008-05",,,,"WTI _ 04"
2008-01-23,5,-26.6178974358974,"2008-06",,,,"WTI _ 05"
2008-01-23,6,-26.0578974358974,"2008-07",,,,"WTI _ 06"
2008-01-23,7,-26.0578974358974,"2008-08",,,,"WTI _ 07"
2008-01-23,8,47.6674871794872,"2008-09",,,,"WTI _ 08"
2008-01-23,9,47.7797948717949,"2008-10",,,,"WTI _ 09"
2008-01-23,10,-25.3278974358974,"2008-11",,,,"WTI _ 10"
2008-01-23,11,-25.3278974358974,"2008-12",,,,"WTI _ 11"
2008-01-24,0,0,"2008-01",,,,"WTI _ 00"
2008-01-24,1,-29.4951923076923,"2008-02",,,,"WTI _ 01"
2008-01-24,2,44.6948076923077,"2008-03",,,,"WTI _ 02"
2008-01-24,3,44.7455769230769,"2008-04",,,,"WTI _ 03"
2008-01-24,4,-28.4651923076923,"2008-05",,,,"WTI _ 04"
2008-01-24,5,-28.1451923076923,"2008-06",,,,"WTI _ 05"
2008-01-24,6,-27.6751923076923,"2008-07",,,,"WTI _ 06"
2008-01-24,7,44.9163461538461,"2008-08",,,,"WTI _ 07"
2008-01-24,8,44.9163461538461,"2008-09",,,,"WTI _ 08"
2008-01-24,9,-27.0951923076923,"2008-10",,,,"WTI _ 09"
2008-01-24,10,-27.0951923076923,"2008-11",,,,"WTI _ 10"
2008-01-24,11,-27.0951923076923,"2008-12",,,,"WTI _ 11"
2008-01-25,0,0,"2008-01",,,,"WTI _ 00"
2008-01-25,1,41.7387330316742,"2008-02",,,,"WTI _ 01"
2008-01-25,2,41.7987330316742,"2008-03",,,,"WTI _ 02"
2008-01-25,3,-33.2828054298643,"2008-04",,,,"WTI _ 03"
2008-01-25,4,-32.9128054298643,"2008-05",,,,"WTI _ 04"
2008-01-25,5,-32.5428054298643,"2008-06",,,,"WTI _ 05"
2008-01-25,6,42.0464253393665,"2008-07",,,,"WTI _ 06"
2008-01-25,7,42.0464253393665,"2008-08",,,,"WTI _ 07"
2008-01-25,8,-32.0428054298643,"2008-09",,,,"WTI _ 08"
2008-01-25,9,-31.4028054298643,"2008-10",,,,"WTI _ 09"
2008-01-25,10,-31.4028054298643,"2008-11",,,,"WTI _ 10"
2008-01-25,11,42.144886877828,"2008-12",,,,"WTI _ 11"
2008-01-28,0,0,"2008-01",,,,"WTI _ 00"
2008-01-28,1,43.6263675213675,"2008-02",,,,"WTI _ 01"
2008-01-28,2,-32.412094017094,"2008-03",,,,"WTI _ 02"
2008-01-28,3,-32.202094017094,"2008-04",,,,"WTI _ 03"
2008-01-28,4,-31.952094017094,"2008-05",,,,"WTI _ 04"
2008-01-28,5,43.7663675213675,"2008-06",,,,"WTI _ 05"
2008-01-28,6,43.8402136752137,"2008-07",,,,"WTI _ 06"
2008-01-28,7,-31.222094017094,"2008-08",,,,"WTI _ 07"
2008-01-28,8,-31.222094017094,"2008-09",,,,"WTI _ 08"
2008-01-28,9,-30.592094017094,"2008-10",,,,"WTI _ 09"
2008-01-28,10,43.9371367521367,"2008-11",,,,"WTI _ 10"
2008-01-28,11,43.9371367521367,"2008-12",,,,"WTI _ 11"
2008-01-29,0,0,"2008-01",,,,"WTI _ 00"
2008-01-29,1,-31.6946153846154,"2008-02",,,,"WTI _ 01"
2008-01-29,2,-31.4846153846154,"2008-03",,,,"WTI _ 02"
2008-01-29,3,-31.2646153846154,"2008-04",,,,"WTI _ 03"
2008-01-29,4,45.3884615384615,"2008-05",,,,"WTI _ 04"
2008-01-29,5,45.4223076923077,"2008-06",,,,"WTI _ 05"
2008-01-29,6,-30.4346153846154,"2008-07",,,,"WTI _ 06"
2008-01-29,7,-30.4346153846154,"2008-08",,,,"WTI _ 07"
2008-01-29,8,-30.4346153846154,"2008-09",,,,"WTI _ 08"
2008-01-29,9,45.57,"2008-10",,,,"WTI _ 09"
2008-01-29,10,45.57,"2008-11",,,,"WTI _ 10"
2008-01-29,11,-29.8646153846154,"2008-12",,,,"WTI _ 11"
2008-01-30,0,0,"2008-01",,,,"WTI _ 00"
2008-01-30,1,-31.4123846153846,"2008-02",,,,"WTI _ 01"
2008-01-30,2,-31.0623846153846,"2008-03",,,,"WTI _ 02"
2008-01-30,3,46.8283846153846,"2008-04",,,,"WTI _ 03"
2008-01-30,4,46.8714615384615,"2008-05",,,,"WTI _ 04"
2008-01-30,5,-30.2123846153846,"2008-06",,,,"WTI _ 05"
2008-01-30,6,-29.7323846153846,"2008-07",,,,"WTI _ 06"
2008-01-30,7,-29.7323846153846,"2008-08",,,,"WTI _ 07"
2008-01-30,8,46.9883846153846,"2008-09",,,,"WTI _ 08"
2008-01-30,9,47.0914615384615,"2008-10",,,,"WTI _ 09"
2008-01-30,10,-29.0623846153846,"2008-11",,,,"WTI _ 10"
2008-01-30,11,-29.0623846153846,"2008-12",,,,"WTI _ 11"
2008-01-31,0,0,"2008-01",,,,"WTI _ 00"
2008-01-31,1,-32.3420146520146,"2008-02",,,,"WTI _ 01"
2008-01-31,2,44.7279853479853,"2008-03",,,,"WTI _ 02"
2008-01-31,3,44.7618315018315,"2008-04",,,,"WTI _ 03"
2008-01-31,4,-31.6820146520147,"2008-05",,,,"WTI _ 04"
2008-01-31,5,-31.4220146520146,"2008-06",,,,"WTI _ 05"
2008-01-31,6,-30.9620146520147,"2008-07",,,,"WTI _ 06"
2008-01-31,7,44.9126007326007,"2008-08",,,,"WTI _ 07"
2008-01-31,8,44.9126007326007,"2008-09",,,,"WTI _ 08"
2008-01-31,9,-30.3520146520147,"2008-10",,,,"WTI _ 09"
2008-01-31,10,-30.3520146520147,"2008-11",,,,"WTI _ 10"
2008-01-31,11,-30.3520146520147,"2008-12",,,,"WTI _ 11"
2008-02-01,0,0,"2008-02",,,,"WTI _ 00"
2008-02-01,1,0.0169230769230762,"2008-03",,,,"WTI _ 01"
2008-02-01,2,-76.5369230769231,"2008-04",,,,"WTI _ 02"
2008-02-01,3,-76.3269230769231,"2008-05",,,,"WTI _ 03"
2008-02-01,4,-76.1169230769231,"2008-06",,,,"WTI _ 04"
2008-02-01,5,0.164615384615386,"2008-07",,,,"WTI _ 05"
2008-02-01,6,0.164615384615386,"2008-08",,,,"WTI _ 06"
2008-02-01,7,-75.7269230769231,"2008-09",,,,"WTI _ 07"
2008-02-01,8,-75.1969230769231,"2008-10",,,,"WTI _ 08"
2008-02-01,9,-75.1969230769231,"2008-11",,,,"WTI _ 09"
2008-02-01,10,0.246153846153847,"2008-12",,,,"WTI _ 10"
2008-02-04,0,0,"2008-02",,,,"WTI _ 00"
2008-02-04,1,-75.2669230769231,"2008-03",,,,"WTI _ 01"
2008-02-04,2,-75.1869230769231,"2008-04",,,,"WTI _ 02"
2008-02-04,3,-75.0469230769231,"2008-05",,,,"WTI _ 03"
2008-02-04,4,0.0538461538461519,"2008-06",,,,"WTI _ 04"
2008-02-04,5,0.0953846153846154,"2008-07",,,,"WTI _ 05"
2008-02-04,6,-74.6369230769231,"2008-08",,,,"WTI _ 06"
2008-02-04,7,-74.6369230769231,"2008-09",,,,"WTI _ 07"
2008-02-04,8,-74.2769230769231,"2008-10",,,,"WTI _ 08"
2008-02-04,9,0.150769230769232,"2008-11",,,,"WTI _ 09"
2008-02-04,10,0.150769230769232,"2008-12",,,,"WTI _ 10"
2008-02-05,0,0,"2008-02",,,,"WTI _ 00"
2008-02-05,1,0.00999999999999091,"2008-03",,,,"WTI _ 01"
2008-02-05,2,0.11999999999999,"2008-04",,,,"WTI _ 02"
2008-02-05,3,76.0023076923077,"2008-05",,,,"WTI _ 03"
2008-02-05,4,76.0269230769231,"2008-06",,,,"WTI _ 04"
2008-02-05,5,0.72999999999999,"2008-07",,,,"WTI _ 05"
2008-02-05,6,0.72999999999999,"2008-08",,,,"WTI _ 06"
2008-02-05,7,0.72999999999999,"2008-09",,,,"WTI _ 07"
2008-02-05,8,76.1361538461538,"2008-10",,,,"WTI _ 08"
2008-02-05,9,76.1361538461538,"2008-11",,,,"WTI _ 09"
2008-02-05,10,1.14999999999999,"2008-12",,,,"WTI _ 10"
2008-02-06,0,0,"2008-02",,,,"WTI _ 00"
2008-02-06,1,0.0100000000000051,"2008-03",,,,"WTI _ 01"
2008-02-06,2,74.6238461538462,"2008-04",,,,"WTI _ 02"
2008-02-06,3,74.6453846153846,"2008-05",,,,"WTI _ 03"
2008-02-06,4,0.400000000000006,"2008-06",,,,"WTI _ 04"
2008-02-06,5,0.680000000000007,"2008-07",,,,"WTI _ 05"
2008-02-06,6,0.680000000000007,"2008-08",,,,"WTI _ 06"
2008-02-06,7,74.71,"2008-09",,,,"WTI _ 07"
2008-02-06,8,74.77,"2008-10",,,,"WTI _ 08"
2008-02-06,9,1.07000000000001,"2008-11",,,,"WTI _ 09"
2008-02-06,10,1.07000000000001,"2008-12",,,,"WTI _ 10"
2008-02-11,0,0,"2008-02",,,,"WTI _ 00"
2008-02-11,1,78.0261538461538,"2008-03",,,,"WTI _ 01"
2008-02-11,2,78.0553846153846,"2008-04",,,,"WTI _ 02"
2008-02-11,3,0.5,"2008-05",,,,"WTI _ 03"
2008-02-11,4,0.740000000000009,"2008-06",,,,"WTI _ 04"
2008-02-11,5,1.14,"2008-07",,,,"WTI _ 05"
2008-02-11,6,78.1907692307692,"2008-08",,,,"WTI _ 06"
2008-02-11,7,78.1907692307692,"2008-09",,,,"WTI _ 07"
2008-02-11,8,1.68000000000001,"2008-10",,,,"WTI _ 08"
2008-02-11,9,1.68000000000001,"2008-11",,,,"WTI _ 09"
2008-02-11,10,1.68000000000001,"2008-12",,,,"WTI _ 10"
2008-02-12,0,0,"2008-02",,,,"WTI _ 00"
2008-02-12,1,0.00923076923076849,"2008-03",,,,"WTI _ 01"
2008-02-12,2,-78.7115384615385,"2008-04",,,,"WTI _ 02"
2008-02-12,3,-78.4315384615385,"2008-05",,,,"WTI _ 03"
2008-02-12,4,-78.1515384615385,"2008-06",,,,"WTI _ 04"
2008-02-12,5,0.198461538461537,"2008-07",,,,"WTI _ 05"
2008-02-12,6,0.198461538461537,"2008-08",,,,"WTI _ 06"
2008-02-12,7,-77.6815384615385,"2008-09",,,,"WTI _ 07"
2008-02-12,8,-77.0515384615385,"2008-10",,,,"WTI _ 08"
2008-02-12,9,-77.0515384615385,"2008-11",,,,"WTI _ 09"
2008-02-12,10,0.295384615384615,"2008-12",,,,"WTI _ 10"
2008-02-13,0,0,"2008-02",,,,"WTI _ 00"
2008-02-13,1,-78.6607692307692,"2008-03",,,,"WTI _ 01"
2008-02-13,2,-78.4807692307692,"2008-04",,,,"WTI _ 02"
2008-02-13,3,-78.2407692307692,"2008-05",,,,"WTI _ 03"
2008-02-13,4,0.107692307692309,"2008-06",,,,"WTI _ 04"
2008-02-13,5,0.176923076923078,"2008-07",,,,"WTI _ 05"
2008-02-13,6,-77.5507692307692,"2008-08",,,,"WTI _ 06"
2008-02-13,7,-77.5507692307692,"2008-09",,,,"WTI _ 07"
2008-02-13,8,-76.9507692307692,"2008-10",,,,"WTI _ 08"
2008-02-13,9,0.26923076923077,"2008-11",,,,"WTI _ 09"
2008-02-13,10,0.26923076923077,"2008-12",,,,"WTI _ 10"
2008-02-14,0,0,"2008-02",,,,"WTI _ 00"
2008-02-14,1,0,"2008-03",,,,"WTI _ 01"
2008-02-14,2,0.150000000000006,"2008-04",,,,"WTI _ 02"
2008-02-14,3,79.0907692307692,"2008-05",,,,"WTI _ 03"
2008-02-14,4,79.1276923076923,"2008-06",,,,"WTI _ 04"
2008-02-14,5,1.06,"2008-07",,,,"WTI _ 05"
2008-02-14,6,1.06,"2008-08",,,,"WTI _ 06"
2008-02-14,7,1.06,"2008-09",,,,"WTI _ 07"
2008-02-14,8,79.2830769230769,"2008-10",,,,"WTI _ 08"
2008-02-14,9,79.2830769230769,"2008-11",,,,"WTI _ 09"
2008-02-14,10,1.64,"2008-12",,,,"WTI _ 10"
2008-02-15,0,0,"2008-02",0,,,"WTI _ 00"
2008-02-15,1,-39.1346853146853,"2008-03",-24.7615396384101,,,"WTI _ 01"
2008-02-15,2,-38.9546853146853,"2008-04",-29.0294028862734,,,"WTI _ 02"
2008-02-15,3,41.4276223776224,"2008-05",21.6794432675728,,,"WTI _ 03"
2008-02-15,4,41.463006993007,"2008-06",26.1509817291112,,,"WTI _ 04"
2008-02-15,5,-38.0046853146853,"2008-07",-19.4420524589229,,,"WTI _ 05"
2008-02-15,6,-38.0046853146853,"2008-08",-23.604787501658,,,"WTI _ 06"
2008-02-15,7,-38.0046853146853,"2008-09",-28.0109840828546,,,"WTI _ 07"
2008-02-15,8,41.6276223776224,"2008-10",22.160853523983,,,"WTI _ 08"
2008-02-15,9,41.6276223776224,"2008-11",26.4945287376583,,,"WTI _ 09"
2008-02-15,10,-37.3946853146853,"2008-12",-18.8417105785811,,,"WTI _ 10"
2008-02-15,11,,,-40.797693484564,,,"WTI _ 11"
2008-02-15,12,,,-40.617693484564,,,"WTI _ 12"
2008-02-15,13,,,42.6211526692822,,,"WTI _ 13"
2008-02-15,14,,,42.6519219000514,,,"WTI _ 14"
2008-02-15,15,,,-40.032693484564,,,"WTI _ 15"
2008-02-15,16,,,-39.887693484564,,,"WTI _ 16"
2008-02-15,17,,,-39.727693484564,,,"WTI _ 17"
2008-02-15,18,,,42.747306515436,,,"WTI _ 18"
2008-02-15,19,,,42.767306515436,,,"WTI _ 19"
2008-02-15,20,,,-39.327693484564,,,"WTI _ 20"
2008-02-15,21,,,-39.227693484564,,,"WTI _ 21"
2008-02-15,22,,,-39.112693484564,,,"WTI _ 22"
2008-02-15,23,,,42.8326911308206,,,"WTI _ 23"
2008-02-15,24,,,42.8419219000514,,,"WTI _ 24"
2008-02-15,25,,,-38.887693484564,,,"WTI _ 25"
2008-02-15,26,,,-38.797693484564,,,"WTI _ 26"
2008-02-15,27,,,-38.717693484564,,,"WTI _ 27"
2008-02-15,28,,,42.8926911308207,,,"WTI _ 28"
2008-02-15,29,,,42.9026911308206,,,"WTI _ 29"
2008-02-15,30,,,-38.537693484564,,,"WTI _ 30"
2008-02-15,31,,,-38.497693484564,,,"WTI _ 31"
2008-02-15,32,,,-38.482693484564,,,"WTI _ 32"
2008-02-15,33,,,42.9188449769745,,,"WTI _ 33"
2008-02-15,34,,,42.9219219000514,,,"WTI _ 34"
2008-02-15,35,,,-38.432693484564,,,"WTI _ 35"
2008-02-19,0,0,"2008-02",,,,"WTI _ 00"
2008-02-19,1,-36.1067948717949,"2008-03",,,,"WTI _ 01"
2008-02-19,2,-35.7967948717949,"2008-04",,,,"WTI _ 02"
2008-02-19,3,45.0308974358974,"2008-05",,,,"WTI _ 03"
2008-02-19,4,45.0755128205128,"2008-06",,,,"WTI _ 04"
2008-02-19,5,-34.6267948717949,"2008-07",,,,"WTI _ 05"
2008-02-19,6,-34.6267948717949,"2008-08",,,,"WTI _ 06"
2008-02-19,7,-34.6267948717949,"2008-09",,,,"WTI _ 07"
2008-02-19,8,45.2601282051282,"2008-10",,,,"WTI _ 08"
2008-02-19,9,45.2601282051282,"2008-11",,,,"WTI _ 09"
2008-02-19,10,-33.9567948717949,"2008-12",,,,"WTI _ 10"
2008-02-20,0,0,"2008-02",,,,"WTI _ 00"
2008-02-20,1,-36.0370414201183,"2008-03",,,,"WTI _ 01"
2008-02-20,2,-35.6770414201183,"2008-04",,,,"WTI _ 02"
2008-02-20,3,47.7352662721893,"2008-05",,,,"WTI _ 03"
